customer_id,total_spend_eur
1571,2171.35
1714,2048.19
1707,1870.73
40,1794.14
1434,1769.55
578,1754.07
836,1748.33
620,1748.31
1268,1687.5
1289,1681.87
70,1677.48
1399,1652.98
1038,1594.19
939,1546.01
165,1496.09
1858,1493.95
323,1464.22
299,1444.19
292,1441.62
1234,1440.93
786,1417.88
1109,1413.11
942,1411.91
575,1405.97
1409,1356.14
1959,1349.23
1964,1347.56
1010,1334.74
1173,1331.43
1625,1330.74
1348,1291.87
873,1277.67
1208,1255.62
1036,1233.7
1114,1230.3
935,1223.7
1437,1220.27
1654,1219.29
524,1214.61
1785,1195.47
547,1192.31
215,1185.12
1524,1184.77
1000,1181.45
1170,1179.43
852,1175.66
1850,1161.54
614,1157.08
1822,1147.52
1935,1136.22
483,1121.9
532,1117.45
1967,1115.05
1480,1105.97
971,1090.52
838,1082.18
987,1076.27
1495,1072.33
1088,1069.98
1700,1060.97
1151,1060.92
73,1060.24
161,1058.91
1406,1040.86
1893,1033.74
1142,1033.74
1364,1032.73
1580,1031.1
74,1028.58
1867,1025.35
791,1014.17
1344,1012.81
1261,1012.18
71,1011.01
178,1008.64
1206,1001.81
1706,1000.91
218,999.91
45,996.54
237,996.43
993,996.2
444,992.93
1466,990
32,989.49
1585,973.66
199,970.71
806,970.69
1569,970.04
1950,969.31
1338,967.67
982,965.13
1227,964.04
1579,963
741,961.73
195,957.66
236,954.23
742,952.32
1092,950.93
1347,948.94
30,947.93
763,945.77
1678,941.67
1357,941.54
732,940.18
1570,936.95
1380,935.09
219,934.35
1601,933.44
69,930.69
1058,929.84
435,929.63
1904,923.4
788,920.66
523,917.14
921,915.59
1381,914.51
556,909.86
453,908.69
1713,908.65
960,906.94
1605,903.57
1291,901.8
357,901.44
1927,896.74
1971,893.67
222,892.58
1773,891.66
1667,890.31
1804,890.06
619,880.17
96,879.51
828,878.4
84,877.02
908,876.23
1012,875.38
1401,874.78
262,873.36
945,870.37
1415,862.2
235,861.95
491,860.42
1655,860.25
1497,859.12
307,857.56
1862,855.32
101,853.97
1167,850.36
1256,847.74
1954,847.33
495,845.2
1584,841.67
1719,841.28
1054,840.93
1685,839.44
1825,836.24
1119,834.88
964,834.55
1563,833.42
1417,828.07
1057,824.23
833,823.71
867,822.2
1510,820.39
906,820.32
686,820.14
1689,820.05
660,819.92
213,818.08
1518,816.68
1265,815.8
1026,815.18
21,814.45
206,814.01
1298,813.18
1922,810.65
1547,808.05
1934,807.73
643,804.72
60,804.7
311,804.67
956,803.37
350,803.25
1986,801.76
120,801.62
390,800.45
251,794.18
320,793.26
25,789.89
18,789.85
1638,783.88
289,783.59
794,783.06
1762,782.97
631,782.51
770,779.25
710,779.04
1912,778.25
1187,775.33
169,774.88
1761,773.41
870,772.87
604,772.26
172,770.89
1546,770.53
649,768.23
1642,767.99
1314,763.75
805,762.83
585,761
200,758.49
138,753.11
756,753.1
1827,752.87
1040,752.59
1872,750.86
1207,750.71
1249,750.52
515,749.28
1029,748.87
1353,746.33
407,745.7
1194,745.41
1033,737.64
324,737.23
723,735.98
733,735.05
1982,735
501,734.72
1815,734.72
328,734.6
1061,733.49
1137,732.4
513,731.32
394,731.25
938,730.15
163,728.65
1942,728.41
1214,725.89
1779,725.29
1161,724.07
1756,723.35
647,721.83
1386,721.54
861,716.99
1396,715.63
650,714.69
878,714.4
714,714.23
761,713.97
448,713.78
105,712.25
331,709.46
447,709.25
130,707.27
51,706.97
47,706.28
343,705.83
446,705.74
187,704.84
10,704.11
1610,703.38
9,702.49
142,702.32
1913,701.79
1266,700.28
319,699.51
1697,696.03
1542,695.98
1340,695.26
190,693.57
1768,692.6
989,691.69
1159,691.42
918,691.06
991,690.32
1361,689.68
57,688.11
1595,684.42
1065,681.7
1321,681.17
926,680.55
226,680.11
1769,679.36
599,679.18
1994,679.04
1220,678.38
827,677.16
